Event,Jet,pt,y,phi,Constituent 0's pt,Constituent 1's pt
1,0,309.278169,-0.360602,2.424201,6.17111e-07,1.27717
1,1,297.792987,0.717542,5.698658,0.426534,5.30394e-07
2,0,277.605354,0.501516,1.255345,0.0785632,0.317602
2,1,264.465318,1.667660,4.376909,0.200805,0.326169
3,0,274.579968,-0.477516,0.798303,0.457919,0.260613
3,1,255.207790,0.353685,3.859416,8.46264e-07,0.846857
4,0,313.904855,-0.611672,4.270565,3.79667e-07,0.206542
4,1,295.876827,0.961721,1.060116,4.37573e-07,3.15899e-07
5,0,211.825235,0.468667,4.171747,3.47742e-07,0.582122
5,1,195.321186,0.740515,0.906186,3.68969e-07,6.59894e-07
6,0,232.525578,0.149602,6.112602,7.85538e-07,0.056484
6,1,228.096878,-0.052408,3.101938,0.512791,8.58666e-07
7,0,195.277687,-0.059275,6.029233,0.0621929,7.31713e-07
7,1,189.983415,0.606235,2.862919,8.65272e-07,6.14577e-07
8,0,303.860062,1.217682,0.684028,7.56043e-07,3.64088e-07
8,1,302.729296,0.229148,3.827868,1.41715,0.380582
9,0,512.786606,-0.503550,5.933702,0.0704968,0.650794
9,1,480.296886,-0.462309,2.800475,0.882479,1.35745e-07
10,0,203.367434,-1.208002,1.416222,0.147567,3.65441e-07
10,1,154.116920,-1.080026,4.135653,4.43271e-07,6.43719e-07
11,0,407.943019,0.499826,3.413070,3.31213e-07,0.197408
11,1,396.013550,0.584360,0.271855,0.0752985,1.87782e-07
12,0,282.119033,-0.579037,1.337655,0.287886,0.0782989
12,1,263.262657,0.388613,4.538311,0.10569,0.0486973
13,0,180.305709,-0.835947,2.862296,4.16314e-07,0.221233
13,1,126.657504,-1.371666,6.079864,0.575375,0.0383926
14,0,340.028504,-0.728498,1.256339,0.661262,0.170725
14,1,339.695329,0.141357,4.346923,6.21572e-07,6.54547e-07
15,0,435.580113,0.625372,2.134654,0.728907,0.5218
15,1,396.679478,-0.464405,5.165247,6.72623e-07,6.39104e-07
16,0,291.859530,-0.338180,3.099595,7.54266e-07,1.37691e-07
16,1,273.918869,0.997188,6.116357,5.96669e-07,5.67144e-07
17,0,298.920538,-0.517315,4.683319,3.95725e-07,0.304148
17,1,277.368367,0.787417,1.427865,4.47837e-07,1.34971
18,0,235.304152,0.235222,5.717975,0.243241,3.01148e-07
18,1,222.271488,0.845407,2.597930,3.47754e-07,0.292366
19,0,254.004789,-1.010553,5.207694,0.105574,0.588054
19,1,199.512807,-0.560861,2.492326,4.57261e-07,1.10704
20,0,210.073238,1.626938,1.500442,0.509463,5.48187e-07
20,1,198.347967,-1.517633,4.714347,0.0607444,0.0994167
21,0,244.517241,0.958739,0.781574,0.151205,1.94393
21,1,217.842339,-0.013844,4.023317,1.19053,7.47837e-07
22,0,360.031699,0.211246,2.569673,0.548622,0.0182874
22,1,359.656982,0.006012,5.741550,0.444845,0.148502
23,0,232.844860,0.622656,1.973418,0.442137,0.295437
23,1,193.394019,-1.295186,5.237364,4.96739e-07,0.564567
