Event,Jet,pt,y,phi,Constituent 0's pt,Constituent 1's pt
1,0,430.795681,-0.403630,3.959685,1.21369,4.40892
1,1,348.396864,0.087320,0.814715,0.412915,1.53799
1,2,9.450531,-0.532454,3.026722,0.725966,0.42757
1,3,4.651222,0.912620,2.375568,0.238388,0.253821
1,4,2.997852,1.147279,3.430615,0.235308,0.0289516
1,5,2.382848,0.460010,0.058477,0.199638,0.308986
1,6,2.094116,1.120661,0.911453,0.101841,0.214526
1,7,1.927605,-0.538228,6.240614,0.328362,0.523328
1,8,1.298489,3.648161,5.787684,1.29849,null
1,9,1.020740,3.856083,0.204825,1.02074,null
1,10,0.707165,0.626388,1.627772,0.158275,0.549651
1,11,0.644057,2.780898,2.574400,0.644057,null
1,12,0.543622,3.063145,1.245557,0.213009,0.0541772
1,13,0.481107,1.687766,1.509160,0.481107,null
1,14,0.459930,-0.866255,1.876348,0.45993,null
1,15,0.446435,-0.048993,2.123661,0.200162,0.264078
1,16,0.374166,1.453367,4.287176,0.374166,null
1,17,0.326411,1.925059,3.162190,0.326411,null
1,18,0.287849,3.029717,4.095830,0.287849,null
1,19,0.236377,-1.900609,3.391700,0.236377,null
1,20,0.151197,2.360039,0.699537,0.151197,null
1,21,0.126650,-1.111650,3.563942,0.12665,null
1,22,0.107208,-2.388422,5.002456,0.107208,null
1,23,0.093790,-2.043220,4.319898,0.0937902,null
1,24,0.077859,-2.921743,1.234337,0.0778586,null
1,25,0.053558,0.296588,3.854448,0.0535581,null
1,26,0.027816,-0.138232,5.556402,0.0278165,null
1,27,0.023422,1.684247,5.218613,0.0234222,null
2,0,376.655823,0.858252,0.715289,0.119146,1.88235
2,1,324.697898,0.865773,3.954261,1.44207,0.699872
2,2,29.245863,0.896466,1.941931,0.545267,0.86753
2,3,2.714877,0.357088,2.705106,0.618581,1.55697
2,4,2.011497,-0.298506,3.310430,0.299384,0.0520131
2,5,1.861970,-2.149837,6.028151,0.146455,0.384229
2,6,1.670464,0.155953,1.411152,0.488776,0.0440078
2,7,1.307669,1.643444,4.326767,0.276375,0.271873
2,8,1.047969,0.363895,4.725172,0.294492,0.0564962
2,9,0.980845,-2.070597,3.967936,0.125784,0.022542
2,10,0.932246,1.046447,6.075929,0.207367,0.286288
2,11,0.847559,-3.151300,3.372093,0.548718,0.316685
2,12,0.768437,-1.550344,2.756613,0.186388,0.336594
